
----------------------------------------------------------------------------------------------------
Final table
----------------------------------------------------------------------------------------------------

 Cut WH_120 Err, TTH_120 Err, ZH_120 Err, DiBosons Err, EWK Err, DY Err, QCD Err, Data Err,
|JetHistosBeforeJetEta| 0,713 0,015 0,030 0,002 0,341 0,010 25,555 0,795 24,761 3,273 2194,527 35,155 0,000 0,000 2380,000 48,785 
|JetHistosBeforeJetBTag| 0,713 0,015 0,030 0,002 0,341 0,010 25,555 0,795 24,761 3,273 2194,527 35,155 0,000 0,000 2380,000 48,785 
|JetHistosAfterJetBTag| 0,675 0,015 0,006 0,001 0,311 0,009 23,486 0,767 7,380 3,173 2122,038 34,561 0,000 0,000 2263,000 47,571 
|JetHistosAfterNumJet| 0,675 0,015 0,006 0,001 0,311 0,009 23,486 0,767 7,380 3,173 2122,038 34,561 0,000 0,000 2263,000 47,571 
|CompCandHistosBeforeSel| 0,675 0,015 0,006 0,001 0,311 0,009 23,486 0,767 7,380 3,173 2122,038 34,561 0,000 0,000 2263,000 47,571 
|CompCandHistosAfterSel| 0,340 0,010 0,003 0,000 0,018 0,002 1,587 0,211 0,563 0,143 0,000 0,000 0,000 0,000 3,000 1,732 
|MuonHistosFinal| 0,340 0,010 0,003 0,000 0,018 0,002 1,587 0,211 0,563 0,143 0,000 0,000 0,000 0,000 3,000 1,732 
|EleHistosFinal| 0,340 0,010 0,003 0,000 0,018 0,002 1,587 0,211 0,563 0,143 0,000 0,000 0,000 0,000 3,000 1,732 
|TauHistosFinal| 0,340 0,010 0,003 0,000 0,018 0,002 1,587 0,211 0,563 0,143 0,000 0,000 0,000 0,000 3,000 1,732 
|DiTauHistosFinal| 0,340 0,010 0,003 0,000 0,018 0,002 1,587 0,211 0,563 0,143 0,000 0,000 0,000 0,000 3,000 1,732 

----------------------------------------------------------------------------------------------------
Absolute efficiencies
----------------------------------------------------------------------------------------------------

 Cut WH_120 Err, TTH_120 Err, ZH_120 Err, DiBosons Err, EWK Err, DY Err, QCD Err, Data Err,
|VertexHistosBeforeMCFilter| 2,2124297881 0,0113558538 3,6620398679 0,0226468473 3,6371218565 0,0224217064 1,0000000000 0,0029394279 1,0000000000 0,0027320286 1,0000000000 0,0006623685 1,0000000000 0,0012233933 1,0000000000 0,0003095446 
|TriggerHistosBeforeSel| 1,0000000000 0,0060241061 1,0000000000 0,0077516857 1,0000000000 0,0077205064 1,0000000000 0,0029394279 1,0000000000 0,0027320286 1,0000000000 0,0006623685 1,0000000000 0,0012233933 1,0000000000 0,0003095446 
|TriggerHistosAfterSel| 0,6423871424 0,0043771561 0,6419997123 0,0056263921 0,6815004651 0,0058449376 0,5817464663 0,0019272264 0,1818135742 0,0007837179 0,8986006241 0,0006118634 0,2648327019 0,0005010519 0,6635694976 0,0002299704 
|VertexHistosBeforeSel| 0,6423871424 0,0043771561 0,6419997123 0,0056263921 0,6815004651 0,0058449376 0,5817464663 0,0019272264 0,1818135742 0,0007837179 0,8986006241 0,0006118634 0,2648327019 0,0005010519 0,6635694976 0,0002299704 
|VertexHistosAfterSel| 0,6411097245 0,0043709980 0,6419370262 0,0056260024 0,6807999400 0,0058406625 0,5810978126 0,0019255600 0,1817267071 0,0007834283 0,8960149780 0,0006105642 0,2645299887 0,0005007049 0,6624930796 0,0002297095 
|MuonHistosBeforeMuonEta| 0,6411097245 0,0043709980 0,6419370262 0,0056260024 0,6807999400 0,0058406625 0,5810978126 0,0019255600 0,1817267071 0,0007834283 0,8960149780 0,0006105642 0,2645299887 0,0005007049 0,6624930796 0,0002297095 
|MuonHistosBeforeMuonID| 0,6396733795 0,0043641528 0,6419363852 0,0056260001 0,6790945858 0,0058303054 0,5792082156 0,0019210865 0,1814951759 0,0007826388 0,8917987968 0,0006084407 0,2639610335 0,0005000495 0,6603990757 0,0002292017 
|MuonHistosBeforeMuonIso| 0,6298888078 0,0043175940 0,6244954325 0,0055195516 0,6680356478 0,0057637806 0,5706501161 0,0019010904 0,1722560341 0,0007578424 0,8838215082 0,0006044435 0,2273308670 0,0004573324 0,5801339266 0,0002095653 
|MuonHistosAfterMuonIso| 0,6093932718 0,0042201176 0,5048420711 0,0047764280 0,6370640136 0,0055760010 0,5441986599 0,0018390735 0,1407621093 0,0006930518 0,8783145919 0,0006016809 0,0254121688 0,0001397639 0,2029459014 0,0001081487 
|MuonHistosBeforeMuonPt1| 0,6093932718 0,0042201176 0,5048420711 0,0047764280 0,6370640136 0,0055760010 0,5441986599 0,0018390735 0,1407621093 0,0006930518 0,8783145919 0,0006016809 0,0254121688 0,0001397639 0,2029459014 0,0001081487 
|MuonHistosAfterMuonPt1| 0,5169620957 0,0037730945 0,4184031395 0,0042210984 0,5577663514 0,0050889507 0,5123884612 0,0017620921 0,1202462917 0,0006293486 0,8430173426 0,0005839010 0,0056262194 0,0000650670 0,1310271121 0,0000842608 
|MuonHistosBeforeMuonPt2| 0,5169620957 0,0037730945 0,4184031395 0,0042210984 0,5577663514 0,0050889507 0,5123884612 0,0017620921 0,1202462917 0,0006293486 0,8430173426 0,0005839010 0,0056262194 0,0000650670 0,1310271121 0,0000842608 
|MuonHistosAfterMuonPt2| 0,3416585003 0,0028839217 0,1673666109 0,0024230516 0,3891864480 0,0040155450 0,3658885834 0,0013870136 0,0109671074 0,0000678160 0,6651210087 0,0004929949 0,0002592282 0,0000139450 0,0931306153 0,0000698378 
|MuonHistosBeforeEleSequence| 0,3000603083 0,0026605720 0,0922730352 0,0017409309 0,2846456929 0,0033057774 0,3262322079 0,0013057910 0,0080196356 0,0000641498 0,6499092523 0,0004851372 0,0002403204 0,0000134352 0,0901826346 0,0000686308 
|TauHistosBeforeTauEta| 0,3000603083 0,0026605720 0,0922730352 0,0017409309 0,2846456929 0,0033057774 0,3262322079 0,0013057910 0,0080196356 0,0000641498 0,6499092523 0,0004851372 0,0002403204 0,0000134352 0,0901826346 0,0000686308 
|TauHistosBeforeDeltaR| 0,3000603083 0,0026605720 0,0922730352 0,0017409309 0,2846456929 0,0033057774 0,3262322079 0,0013057910 0,0080196356 0,0000641498 0,6499092523 0,0004851372 0,0002403204 0,0000134352 0,0901826346 0,0000686308 
|TauHistosBeforeTauPt| 0,3000603083 0,0026605720 0,0922730352 0,0017409309 0,2846456929 0,0033057774 0,3262322079 0,0013057910 0,0080196356 0,0000641498 0,6499092523 0,0004851372 0,0002403204 0,0000134352 0,0901826346 0,0000686308 
|TauHistosBeforeTauID| 0,1790932531 0,0019572718 0,0882666536 0,0017002278 0,2070385913 0,0027320999 0,1117894747 0,0005986286 0,0050781804 0,0000313119 0,0686328490 0,0001258186 0,0000268308 0,0000044821 0,0098159664 0,0000217919 
|TauHistosBeforeTauIso| 0,1645990008 0,0018661659 0,0863738073 0,0016807000 0,1954811961 0,0026434562 0,0986851468 0,0005490773 0,0047388409 0,0000275780 0,0473630817 0,0001043790 0,0000186202 0,0000037738 0,0065186338 0,0000177295 
|TauHistosBeforeMuonVeto| 0,0829892141 0,0012779072 0,0334284964 0,0010186555 0,1183854468 0,0019898702 0,0167186463 0,0002008599 0,0001073912 0,0000051814 0,0022769813 0,0000223304 0,0000001321 0,0000001321 0,0003129412 0,0000038726 
|TauHistosBeforeEleVeto| 0,0829571273 0,0012776488 0,0334284964 0,0010186555 0,1183214769 0,0019892424 0,0167023609 0,0002007505 0,0001073228 0,0000051811 0,0022751726 0,0000223225 0,0000001321 0,0000001321 0,0003125100 0,0000038700 
|TauHistosBeforeHighestPt| 0,0489513003 0,0009663761 0,0190539685 0,0007623310 0,0794687190 0,0015998915 0,0049831556 0,0001098186 0,0000660810 0,0000049569 0,0017360794 0,0000194980 0,0000001321 0,0000001321 0,0002301545 0,0000033210 
|TauHistosBeforeDiTau| 0,0489513003 0,0009663761 0,0190539685 0,0007623310 0,0794687190 0,0015998915 0,0049831556 0,0001098186 0,0000660810 0,0000049569 0,0017360794 0,0000194980 0,0000001321 0,0000001321 0,0002301545 0,0000033210 
|EleHistosBeforeDeltaR| 0,0489513003 0,0009663761 0,0190539685 0,0007623310 0,0794687190 0,0015998915 0,0049831556 0,0001098186 0,0000660810 0,0000049569 0,0017360794 0,0000194980 0,0000001321 0,0000001321 0,0002301545 0,0000033210 
|EleHistosBeforeMu2TauPairs| 0,0481054624 0,0009578063 0,0163248288 0,0007054704 0,0676587358 0,0014692519 0,0047845435 0,0001080739 0,0000648161 0,0000049496 0,0017219826 0,0000194195 0,0000001321 0,0000001321 0,0002287173 0,0000033106 
|DiTauHistosBeforeCharge| 0,0481054624 0,0009578063 0,0163248288 0,0007054704 0,0676587358 0,0014692519 0,0047845435 0,0001080739 0,0000648161 0,0000049496 0,0017219826 0,0000194195 0,0000001321 0,0000001321 0,0002287173 0,0000033106 
|DiTauHistosBeforeDeltaR| 0,0407938760 0,0008783870 0,0116592825 0,0005954266 0,0352880299 0,0010442678 0,0024578586 0,0000765313 0,0000362458 0,0000047916 0,0008548153 0,0000136810 0,0000000000 0,0000000000 0,0001143586 0,0000023408 
|DiTauHistosBeforeOnePair| 0,0407625189 0,0008780681 0,0116592825 0,0005954266 0,0352515206 0,0010437499 0,0024501233 0,0000764063 0,0000362457 0,0000047916 0,0008524724 0,0000136620 0,0000000000 0,0000000000 0,0001140233 0,0000023374 
|DiTauHistosFinalForMuTau| 0,0407625189 0,0008780681 0,0116592825 0,0005954266 0,0352515206 0,0010437499 0,0024501233 0,0000764063 0,0000362457 0,0000047916 0,0008524724 0,0000136620 0,0000000000 0,0000000000 0,0001140233 0,0000023374 
|JetHistosBeforeJetEt| 0,0407625189 0,0008780681 0,0116592825 0,0005954266 0,0352515206 0,0010437499 0,0024501233 0,0000764063 0,0000362457 0,0000047916 0,0008524724 0,0000136620 0,0000000000 0,0000000000 0,0001140233 0,0000023374 
|JetHistosBeforeJetEta| 0,0407625189 0,0008780681 0,0116592825 0,0005954266 0,0352515206 0,0010437499 0,0024501233 0,0000764063 0,0000362457 0,0000047916 0,0008524724 0,0000136620 0,0000000000 0,0000000000 0,0001140233 0,0000023374 
|JetHistosBeforeJetBTag| 0,0407625189 0,0008780681 0,0116592825 0,0005954266 0,0352515206 0,0010437499 0,0024501233 0,0000764063 0,0000362457 0,0000047916 0,0008524724 0,0000136620 0,0000000000 0,0000000000 0,0001140233 0,0000023374 
